Method,RTT_ms,mean_reward,std_reward,mean_latency_ms,median_latency_ms,p95_latency_ms,mean_wire_bytes,median_wire_bytes,hybrid_rate,pqc_rate,classical_rate,fallback_rate,violation_rate,level_3_plus_rate,level_1_rate,level_3_rate,level_5_rate
AWAC,15.0,-1.875869380191689,4.054900683132277,366.52315794966603,360.0906066894531,473.24383544921875,2307.445292620865,2466.0,0.7506361323155216,0.10178117048346055,0.04580152671755725,0.10178117048346055,0.05852417302798982,0.9414758269720102,0.05852417302798982,0.7913486005089059,0.1501272264631043
AWAC,50.0,-4.180385115176817,2.7943545779167636,463.8836876205251,463.856201171875,547.0948486328125,2345.461041337025,2466.0,0.7569620253164557,0.10632911392405064,0.020253164556962026,0.11645569620253166,0.04810126582278481,0.9518987341772152,0.04810126582278481,0.8126582278481012,0.13924050632911392
AWAC,100.0,-9.056399138577014,3.9064105185589657,562.928232804264,561.065673828125,658.2759094238264,2278.2698795180722,2466.0,0.7710843373493976,0.07228915662650603,0.05301204819277108,0.10361445783132531,0.04578313253012048,0.9542168674698795,0.04578313253012048,0.8265060240963855,0.12771084337349398
AWAC,200.0,-21.080686283358,4.174037145189089,765.5426465411518,760.2996826171875,856.7622680664062,2295.297157622739,2466.0,0.7364341085271318,0.1007751937984496,0.06201550387596899,0.10077519379844961,0.049095607235142114,0.9509043927648579,0.049095607235142114,0.772609819121447,0.17829457364341084
Rule_Based,0.0,0.060217246413230896,0.0,400.93829345703125,400.93829345703125,400.93829345703125,3402.0,3402.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Rule_Based,15.0,-1.372704267501831,0.0,473.24383544921875,473.24383544921875,473.24383544921875,3402.0,3402.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Rule_Based,50.0,-3.001042604446411,0.0,463.856201171875,463.856201171875,463.856201171875,2466.0,2466.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Rule_Based,100.0,-11.19007682800293,0.0,562.9738159179688,562.9738159179688,562.9738159179688,1378.0,1378.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Rule_Based,200.0,-20.768198013305664,0.0,768.4598999023438,768.4598999023438,768.4598999023438,2272.0,2272.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Fixed_REQUIRE_HYBRID_L3,0.0,0.8366926312446594,0.0,312.0107421875,312.0107421875,312.0107421875,2466.0,2466.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Fixed_REQUIRE_HYBRID_L3,15.0,-0.1842421144247055,0.0,360.0906066894531,360.0906066894531,360.0906066894531,2466.0,2466.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Fixed_REQUIRE_HYBRID_L3,50.0,-3.001042604446411,0.0,463.856201171875,463.856201171875,463.856201171875,2466.0,2466.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Fixed_REQUIRE_HYBRID_L3,100.0,-7.369513034820557,0.0,561.065673828125,561.065673828125,561.065673828125,2466.0,2466.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Fixed_REQUIRE_HYBRID_L3,200.0,-19.06218910217285,0.0,760.2996826171875,760.2996826171875,760.2996826171875,2466.0,2466.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Fixed_REQUIRE_HYBRID_L5,0.0,0.060217246413230896,0.0,400.93829345703125,400.93829345703125,400.93829345703125,3402.0,3402.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Fixed_REQUIRE_HYBRID_L5,15.0,-1.372704267501831,0.0,473.24383544921875,473.24383544921875,473.24383544921875,3402.0,3402.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Fixed_REQUIRE_HYBRID_L5,50.0,-4.136822700500488,0.0,547.0948486328125,547.0948486328125,547.0948486328125,3402.0,3402.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Fixed_REQUIRE_HYBRID_L5,100.0,-9.80346965789795,0.0,684.9033813476562,684.9033813476562,684.9033813476562,3402.0,3402.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Fixed_REQUIRE_HYBRID_L5,200.0,-21.92267608642578,0.0,854.7426147460938,854.7426147460938,854.7426147460938,3402.0,3402.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Fixed_PQC_ONLY_L3,0.0,-0.6450477838516235,0.0,314.0647888183594,314.0647888183594,314.0647888183594,2272.0,2272.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
